f_name,molecule_name,test_type,test_text,comments,opsin_smiles,O_fname
Benchmark_data_01,4-Bromo-3-(4-methoxyphenyl)-1H-indole,Rf,0.26 (1:1 diethyl ether/40–60 petroleum ethers),,COc1ccc(-c2c[nH]c3cccc(Br)c23)cc1,000007_Thesis_000010
Benchmark_data_01,4-Bromo-3-(4-methoxyphenyl)-1H-indole,IR,"(film)/cm-1 3412, 3000, 2936, 2834, 1611, 1574, 1550, 1500, 1476, 1464, 1440, 1425, 1337,
1281, 1302, 1235, 1193, 1175, 1144, 1121, 1105, 1069, 1050, 1028, 964, 907, 891, 833, 808.",,COc1ccc(-c2c[nH]c3cccc(Br)c23)cc1,000007_Thesis_000010
Benchmark_data_01,4-Bromo-3-(4-methoxyphenyl)-1H-indole,1H NMR,"(400 MHz, CDCl3) δ 8.26 (s, 1H, H1), 7.42 (d, J = 8.8 Hz, 2H, H3), 7.38 (dd, J = 7.9, 0.8
Hz, 1H, H6/8), 7.32 (dd, J = 7.9, 0.8 Hz, 1H, H6/8), 7.17 (d, J = 2.5 Hz, 1H, H2), 7.06 (t, J = 7.9 Hz,
1H, H7), 6.94 (d, J = 8.8 Hz, 2H, H4), 3.87 (s, 3H, H5)",,COc1ccc(-c2c[nH]c3cccc(Br)c23)cc1,000007_Thesis_000010
Benchmark_data_01,4-Bromo-3-(4-methoxyphenyl)-1H-indole,13C NMR,"(100 MHz, CDCl3) δ 158.8, 137.1, 132.6, 127.2, 125.0, 124.8, 124.5, 123.1, 119.4, 114.6,
112.8, 110.7, 55.4",,COc1ccc(-c2c[nH]c3cccc(Br)c23)cc1,000007_Thesis_000010
Benchmark_data_01,4-Bromo-3-(4-methoxyphenyl)-1H-indole,MS,(APCI) found [M+H]+ 302.0183 ([C15H1279BrNO+H]+ requires 302.0175; error 2.6 ppm),,COc1ccc(-c2c[nH]c3cccc(Br)c23)cc1,000007_Thesis_000010
Benchmark_data_01,(4-Bromo-3-(4-methoxyphenyl)-1H-indol-2-yl)(4-methoxyphenyl)methanone,Rf,0.55 (1:19 ethyl acetate/dichloromethane).,,COc1ccc(C(=O)c2[nH]c3cccc(Br)c3c2-c2ccc(OC)cc2)cc1,000007_Thesis_000010
Benchmark_data_01,(4-Bromo-3-(4-methoxyphenyl)-1H-indol-2-yl)(4-methoxyphenyl)methanone,IR,"(film)/cm-1 3306, 3059, 3036, 3000, 2959, 2936, 2910, 2836, 1609, 1597, 1572, 1555, 1533,
1510, 1490, 1463, 1442, 1418, 1403, 1373, 1333, 1313, 1285, 1249, 1167, 1138, 1110, 1054, 1036,
1021, 1004, 949, 935, 925, 871, 841, 827",,COc1ccc(C(=O)c2[nH]c3cccc(Br)c3c2-c2ccc(OC)cc2)cc1,000007_Thesis_000010
Benchmark_data_01,(4-Bromo-3-(4-methoxyphenyl)-1H-indol-2-yl)(4-methoxyphenyl)methanone,1H NMR,"(400 MHz, CDCl3) δ 9.55 (s, 1H, H1), 7.49 – 7.43 (m, 3H, H2 and H8/10), 7.34 (d, J = 7.4
Hz, 1H, H8/10), 7.18 (t, J = 7.7 Hz, 1H, H9), 7.13 (d, J = 8.7 Hz, 2H, H5), 6.65 (d, J = 8.7 Hz, 2H,
H6), 6.58 (d, J = 8.8 Hz, 2H, H3), 3.75 (s, 3H, H4), 3.74 (s, 3H, H7)",,COc1ccc(C(=O)c2[nH]c3cccc(Br)c3c2-c2ccc(OC)cc2)cc1,000007_Thesis_000010
Benchmark_data_01,(4-Bromo-3-(4-methoxyphenyl)-1H-indol-2-yl)(4-methoxyphenyl)methanone,13C NMR,"(100 MHz, CDCl3) δ 188.8, 162.5, 159.1, 137.3, 134.1, 133.4, 131.7, 130.0, 126.5, 126.0,
125.5, 125.4, 124.2, 116.8, 113.0, 112.5, 111.5, 55.5, 55.3",,COc1ccc(C(=O)c2[nH]c3cccc(Br)c3c2-c2ccc(OC)cc2)cc1,000007_Thesis_000010
Benchmark_data_01,(4-Bromo-3-(4-methoxyphenyl)-1H-indol-2-yl)(4-methoxyphenyl)methanone,MS,(ESI) found [M+H]+ 436.0545 ([C23H1879BrNO3+H]+ requires 436.0543; error 0.5 ppm).,,COc1ccc(C(=O)c2[nH]c3cccc(Br)c3c2-c2ccc(OC)cc2)cc1,000007_Thesis_000010
